dataset,min_task_num,max_task_num,eval_min,eval_max,model,hidden_size,num_epoch,batch_size,lr,wd,early_stop,is_test,log_time,lsd,lmd,krc,hr@1,hr@2,hr@3,hr@4,hr@5,hr@6,hr@7,hr@8,hr@9,hr@10,ed,acc@1,acc@2,acc@3,acc@4,acc@5,acc@6,acc@7,acc@8,acc@9,acc@10
food_pd,0,25,1,11,graph2route_pd,8,60,64,0.001,1e-05,10,False,0:8:2,0.8166127989657402,0.5228075845722904,0.6805630970336852,0.5701357466063348,0.8371040723981901,0.8921568627450981,0.9264705882352942,0.9352941176470589,0.9402714932126698,0.9405946994182288,0.9419683257918553,0.9420311714429361,0.9425339366515838,1.2081447963800904,0.5701357466063348,0.497737556561086,0.47058823529411764,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896
food_pd,0,25,1,25,graph2route_pd,8,60,64,0.001,1e-05,10,False,0:8:2,0.8166127989657402,0.5228075845722904,0.6805630970336852,0.5701357466063348,0.8371040723981901,0.8921568627450981,0.9264705882352942,0.9352941176470589,0.9402714932126698,0.9405946994182288,0.9419683257918553,0.9420311714429361,0.9425339366515838,1.2081447963800904,0.5701357466063348,0.497737556561086,0.47058823529411764,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896
food_pd,0,25,1,11,graph2route_pd,8,60,64,0.001,1e-05,10,False,0:41:20,0.8166127989657402,0.5228075845722904,0.6805630970336852,0.5701357466063348,0.8371040723981901,0.8921568627450981,0.9264705882352942,0.9352941176470589,0.9402714932126698,0.9405946994182288,0.9419683257918553,0.9420311714429361,0.9425339366515838,1.2081447963800904,0.5701357466063348,0.497737556561086,0.47058823529411764,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896
food_pd,0,25,1,25,graph2route_pd,8,60,64,0.001,1e-05,10,False,0:41:20,0.8166127989657402,0.5228075845722904,0.6805630970336852,0.5701357466063348,0.8371040723981901,0.8921568627450981,0.9264705882352942,0.9352941176470589,0.9402714932126698,0.9405946994182288,0.9419683257918553,0.9420311714429361,0.9425339366515838,1.2081447963800904,0.5701357466063348,0.497737556561086,0.47058823529411764,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896,0.4660633484162896
food_pd,0,25,1,11,graph2route_pd,8,2,64,0.001,1e-05,10,False,20:52:33,0.9103425985778928,0.5515406162464986,0.6592544710191769,0.6018099547511312,0.8438914027149321,0.8846153846153846,0.9291101055806938,0.9422322775263953,0.950075414781297,0.9517991812109459,0.9525263951734539,0.9530920060331824,0.9530920060331824,1.2217194570135748,0.6018099547511312,0.5203619909502263,0.46153846153846156,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774
food_pd,0,25,1,25,graph2route_pd,8,2,64,0.001,1e-05,10,False,20:52:33,0.9103425985778928,0.5515406162464986,0.6592544710191769,0.6018099547511312,0.8438914027149321,0.8846153846153846,0.9291101055806938,0.9422322775263953,0.950075414781297,0.9517991812109459,0.9525263951734539,0.9530920060331824,0.9530920060331824,1.2217194570135748,0.6018099547511312,0.5203619909502263,0.46153846153846156,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774
food_pd,0,25,1,11,graph2route_pd,8,2,64,0.001,1e-05,10,False,20:53:29,0.9103425985778928,0.5515406162464986,0.6592544710191769,0.6018099547511312,0.8438914027149321,0.8846153846153846,0.9291101055806938,0.9422322775263953,0.950075414781297,0.9517991812109459,0.9525263951734539,0.9530920060331824,0.9530920060331824,1.2217194570135748,0.6018099547511312,0.5203619909502263,0.46153846153846156,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774
food_pd,0,25,1,25,graph2route_pd,8,2,64,0.001,1e-05,10,False,20:53:29,0.9103425985778928,0.5515406162464986,0.6592544710191769,0.6018099547511312,0.8438914027149321,0.8846153846153846,0.9291101055806938,0.9422322775263953,0.950075414781297,0.9517991812109459,0.9525263951734539,0.9530920060331824,0.9530920060331824,1.2217194570135748,0.6018099547511312,0.5203619909502263,0.46153846153846156,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774
food_pd,0,25,1,11,graph2route_pd,8,2,64,0.001,1e-05,10,False,20:55:30,0.9103425985778928,0.5515406162464986,0.6592544710191769,0.6018099547511312,0.8438914027149321,0.8846153846153846,0.9291101055806938,0.9422322775263953,0.950075414781297,0.9517991812109459,0.9525263951734539,0.9530920060331824,0.9530920060331824,1.2217194570135748,0.6018099547511312,0.5203619909502263,0.46153846153846156,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774
food_pd,0,25,1,25,graph2route_pd,8,2,64,0.001,1e-05,10,False,20:55:30,0.9103425985778928,0.5515406162464986,0.6592544710191769,0.6018099547511312,0.8438914027149321,0.8846153846153846,0.9291101055806938,0.9422322775263953,0.950075414781297,0.9517991812109459,0.9525263951734539,0.9530920060331824,0.9530920060331824,1.2217194570135748,0.6018099547511312,0.5203619909502263,0.46153846153846156,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774,0.4479638009049774
